,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
117,-2980.8462,7400.669,3674.189,851.626,3187.1033,479.77927,-4776.351,4053.9805,-3973.5774,2593.5015,5321.4194,0.0
118,-3272.417,6859.1274,5413.6997,1409.4716,2657.4724,1074.4037,-3804.7788,3554.032,-3479.2964,2436.1348,6046.639,0.0
119,-4877.4473,6576.3516,6302.7754,1916.5746,2116.7764,1985.1768,-2433.9297,3813.5972,-3132.7642,2691.021,7238.9165,0.0
120,1026.7263,1228.806,7364.158,1217.9777,318.4165,3385.4875,1329.7207,-742.65265,313.34787,582.41,786.29846,0.0
121,-148.16872,-1101.6008,13997.036,-60.184,4114.2285,3131.52,1596.4015,-82.41162,409.4161,77.83102,-1243.0416,0.0
122,457.80328,-598.4874,18034.229,-1836.2201,5050.7915,2554.6362,1425.0369,226.53787,433.21625,216.86848,-933.9123,0.0
123,992.77783,500.17593,21766.459,267.49847,4622.8643,2416.9595,684.2063,1207.1207,322.66055,133.65128,-754.4485,0.0
124,351.66275,1228.8834,23328.9,4355.0737,3179.6658,2897.9504,-431.44006,2119.975,262.35846,-104.22711,-678.8403,0.0
125,-952.6771,2099.0137,22862.645,6297.0938,814.4543,4401.491,-704.8303,2445.756,943.22943,356.89008,-140.5855,1100.0
126,-26.48761,4977.6914,24255.064,7550.1626,-593.5797,8040.218,1901.776,4361.2783,4238.429,2837.8635,2491.3296,5000.0
127,7146.908,11645.412,38021.77,20388.488,3293.0593,15087.625,8318.335,11912.269,11903.804,8195.158,8549.434,14500.0
128,21845.057,21771.443,67873.39,53852.49,15138.653,25346.842,16923.508,25724.223,22839.5,15929.889,17128.078,42800.0
129,40406.586,32703.031,99912.16,96928.54,31441.414,36508.305,24885.17,41031.64,33318.39,24281.201,25612.889,57800.0
130,57045.85,41434.63,126084.06,132138.75,45867.383,45747.863,30300.244,52558.688,40363.992,31234.842,31868.498,72500.0
131,67951.16,46272.453,147007.02,154380.14,54955.46,51333.246,32577.547,58357.426,43129.57,35418.19,35053.7,76200.0
132,72272.414,46862.227,158799.67,164773.95,58471.535,52639.22,31716.139,59117.0,41794.316,36316.652,35127.19,61500.0
133,70508.89,43538.113,157832.16,165402.5,57183.844,49556.86,27825.906,56146.59,36644.07,34095.914,32304.334,48100.0
134,62837.953,37011.047,143872.14,156764.4,51479.45,42281.99,21303.34,50019.02,28147.914,29395.877,26879.959,51699.99999999999
135,48984.457,28487.414,115201.984,135922.89,41348.152,31668.996,13438.002,40481.504,17745.074,23177.488,19507.021,20400.0
136,30123.219,19716.357,70973.89,99171.92,27879.75,19804.61,6462.871,28092.22,8287.748,16556.809,11664.996,11100.000000000002
137,11175.321,12473.687,26036.547,53529.34,14937.087,9722.201,2165.7473,15820.555,2447.8691,10575.703,5330.4937,8400.0
138,-1183.551,7703.891,4331.564,20160.84,7102.5938,3586.7825,464.02344,7166.9873,214.84515,5949.5864,1579.0166,2000.0
139,-5023.729,5183.875,451.90118,7229.1157,4644.248,1179.1334,92.44353,2714.509,-393.43698,2913.7998,-49.87046,1100.0
140,-4251.6104,4026.2073,671.3988,3672.4814,4176.0664,799.9539,91.73589,767.376,-643.86847,1279.7435,-539.6829,0.0
141,-3068.6611,3391.9292,4261.4214,4745.6914,3554.8447,976.9967,29.980665,6.0297103,-760.6151,695.9269,-517.02026,0.0
142,-3483.3958,2876.234,10527.281,9001.462,2452.6296,930.63574,-288.17163,-12.773176,-645.90497,972.0001,-266.4312,0.0
143,-5574.9814,2591.9087,15958.624,12643.668,899.759,610.7569,-625.22345,836.5195,373.36127,2259.3154,156.42412,0.0
144,-1.554152,825.88434,4167.685,4581.511,1394.8954,1661.4407,-1811.2764,-443.29456,1572.6692,-259.14767,-302.7316,0.0
145,-761.1111,-188.151,4845.7227,5520.3564,2920.1482,1345.4327,801.4581,-1353.6116,671.77356,67.45432,-1289.4708,0.0
146,512.43835,1404.8545,4196.901,3627.272,2809.6748,550.13837,966.06866,-1669.31,39.88238,372.38116,-840.1885,0.0
147,1529.6858,3320.0488,3138.4448,2847.8577,1439.6396,-393.61905,1404.4039,-1652.8579,-542.652,173.23688,-701.6972,0.0
148,1040.2795,4596.115,1932.1976,3151.354,-1014.2848,-1535.5875,880.8178,-2380.0488,-887.17523,-276.46536,-1006.95325,0.0
149,-491.1259,5826.6987,934.51776,3910.615,-3697.6643,-1662.4377,-600.61676,-3400.5889,334.01346,61.082073,-922.1583,700.0000000000001
150,-214.40724,9012.29,2200.2473,8235.226,-3337.9795,1943.3475,960.7012,-557.92413,5887.63,2780.0298,2345.6885,9100.0
151,5702.876,16006.061,9965.548,24904.031,4676.5776,10962.889,11059.0205,10522.278,17042.121,9006.442,11207.692,13200.0
152,18232.549,26421.598,26769.062,57542.24,20873.697,23384.178,28190.44,27892.307,30759.518,18228.994,23890.525,20300.0
153,33773.82,37532.04,48803.426,94693.82,39546.93,35144.336,44400.996,44626.88,42358.664,28309.652,35795.562,28900.0
