,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
58,0.0,0.0,45148.203,0.0,16733.064,16829.826,0.0,0.0,26163.178,24396.81,0.0,51900.00000000001
59,0.0,0.0,52674.64,0.0,20777.648,17851.951,0.0,0.0,27992.992,25914.906,0.0,58900.0
60,0.0,0.0,55450.73,0.0,22189.031,17113.78,0.0,0.0,27130.19,25264.58,0.0,61200.00000000001
61,0.0,0.0,53505.035,0.0,21044.975,14790.399,0.0,0.0,23759.541,22638.744,0.0,56700.0
62,0.0,0.0,47203.227,0.0,17656.154,11208.729,0.0,0.0,18262.387,18410.14,0.0,52900.00000000001
63,0.0,0.0,37048.645,0.0,12483.137,6788.668,0.0,0.0,11162.241,13076.697,0.0,46900.0
64,0.0,0.0,23587.05,0.0,6092.107,1990.8473,0.0,0.0,3098.839,7219.5376,0.0,24400.0
65,0.0,0.0,7433.978,0.0,0.0,0.0,0.0,0.0,0.0,1470.7936,0.0,21700.000000000004
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,1770.3785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,1179.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8452.745,0.0,1200.0
79,0.0,0.0,2386.087,0.0,0.0,8624.069,0.0,7397.6616,18167.668,23742.25,0.0,2500.0
80,0.0,0.0,19269.084,0.0,2544.3267,19916.994,0.0,26295.8,35757.09,37935.61,0.0,3300.0
81,0.0,0.0,35884.355,0.0,9335.561,29485.283,0.0,41651.453,50055.555,49349.055,0.0,11300.000000000002
82,0.0,0.0,49274.023,0.0,14943.318,36242.36,0.0,51815.766,59800.81,57035.875,0.0,13800.0
83,0.0,0.0,57764.6,0.0,18632.492,39665.09,0.0,56592.188,64530.023,60634.316,0.0,12200.0
84,0.0,0.0,60760.883,0.0,20036.389,39705.38,0.0,56514.34,64315.074,60240.816,0.0,8100.0
