지점,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),이슬점온도(°C),현지기압(hPa),일조(hr),시정(10m),지면온도(°C),증기압(hPa)
279,2017-01-01 00:00,-1.5,0.0,0.3,0,99,-1.6,1023.8,0.0,328,-0.3,5.4
279,2017-01-01 01:00,-0.6,0.0,0.2,0,99,-0.7,1024.2,0.0,411,0.1,5.8
279,2017-01-01 02:00,0.0,0.0,0.2,0,99,-0.1,1024.2,0.0,457,0.2,6.1
279,2017-01-01 03:00,-0.5,0.0,0.2,0,98,-0.7,1024.1,0.0,403,-0.1,5.8
279,2017-01-01 04:00,-1.3,0.0,0.0,0,99,-1.4,1024.0,0.0,316,-0.5,5.5
279,2017-01-01 05:00,-2.2,0.0,0.1,0,99,-2.3,1023.7,0.0,242,-0.8,5.2
279,2017-01-01 06:00,-2.3,0.0,0.0,0,99,-2.4,1023.4,0.0,252,-1.0,5.1
279,2017-01-01 07:00,-2.6,0.0,0.0,0,99,-2.7,1023.6,0.0,289,-1.2,5.0
279,2017-01-01 08:00,-1.8,0.0,0.1,0,99,-1.9,1024.4,0.0,316,-0.9,5.3
279,2017-01-01 09:00,-1.4,0.0,0.9,90,99,-1.5,1025.0,0.0,169,-0.4,5.5
279,2017-01-01 10:00,-0.6,0.0,0.3,0,99,-0.7,1025.3,0.0,210,0.2,5.8
279,2017-01-01 11:00,0.9,0.0,0.1,0,98,0.6,1025.2,0.1,380,0.5,6.4
279,2017-01-01 12:00,3.5,0.0,0.5,90,87,1.5,1024.1,0.7,630,1.4,6.8
279,2017-01-01 13:00,5.3,0.0,1.2,110,78,1.7,1022.9,0.9,697,4.2,6.9
279,2017-01-01 14:00,7.2,0.0,1.3,110,67,1.4,1021.7,1.0,818,8.4,6.8
279,2017-01-01 15:00,9.7,0.0,1.6,340,54,0.8,1021.1,1.0,1097,9.3,6.5
279,2017-01-01 16:00,8.4,0.0,0.3,0,59,0.8,1021.0,1.0,952,7.2,6.5
279,2017-01-01 17:00,5.9,0.0,0.2,0,73,1.4,1020.7,0.2,882,4.7,6.8
279,2017-01-01 18:00,4.3,0.0,0.7,270,84,1.8,1020.7,0.0,728,2.4,7.0
279,2017-01-01 19:00,3.4,0.0,0.7,270,88,1.5,1020.6,0.0,623,1.2,6.8
279,2017-01-01 20:00,2.4,0.0,0.8,270,91,1.0,1020.4,0.0,612,0.5,6.6
279,2017-01-01 21:00,1.7,0.0,0.6,270,95,0.9,1019.9,0.0,561,0.4,6.5
279,2017-01-01 22:00,0.9,0.0,0.0,0,98,0.6,1019.5,0.0,479,0.3,6.4
279,2017-01-01 23:00,0.1,0.0,0.4,0,98,-0.1,1018.8,0.0,383,0.2,6.1
279,2017-01-02 00:00,0.0,0.0,0.8,290,99,-0.1,1018.9,0.0,308,0.1,6.1
