년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2019.01.01,1,발전량,"2,579.50",107,"2,579.50",0,"2,579.50","2,579.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,579.50",0,0,0,0,0,0,0,0,0
2019.01.02,1,발전량,"4,412.40",184,"4,412.40",0,"4,412.40","4,412.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,412.40",0,0,0,0,0,0,0,0,0
2019.01.03,1,발전량,"4,466.20",186,"4,466.20",0,"4,466.20","4,466.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,466.20",0,0,0,0,0,0,0,0,0
2019.01.04,1,발전량,"2,965.00",124,"2,965.00",0,"2,965.00","2,965.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,965.00",0,0,0,0,0,0,0,0,0
2019.01.05,1,발전량,"3,379.20",141,"3,379.20",0,"3,379.20","3,379.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,379.20",0,0,0,0,0,0,0,0,0
2019.01.06,1,발전량,"3,828.70",160,"3,828.70",0,"3,828.70","3,828.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,828.70",0,0,0,0,0,0,0,0,0
2019.01.07,1,발전량,"3,731.50",155,"3,731.50",0,"3,731.50","3,731.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,731.50",0,0,0,0,0,0,0,0,0
2019.01.08,1,발전량,"4,126.70",172,"4,126.70",0,"4,126.70","4,126.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,126.70",0,0,0,0,0,0,0,0,0
2019.01.09,1,발전량,"3,450.40",144,"3,450.40",0,"3,450.40","3,450.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,450.40",0,0,0,0,0,0,0,0,0
2019.01.10,1,발전량,"3,193.30",133,"3,193.30",0,"3,193.30","3,193.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,193.30",0,0,0,0,0,0,0,0,0
2019.01.11,1,발전량,"3,640.80",152,"3,640.80",0,"3,640.80","3,640.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,640.80",0,0,0,0,0,0,0,0,0
2019.01.12,1,발전량,979.5,41,979.5,0,979.5,979.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979.5,0,0,0,0,0,0,0,0,0
2019.01.13,1,발전량,"2,530.80",105,"2,530.80",0,"2,530.80","2,530.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,530.80",0,0,0,0,0,0,0,0,0
2019.01.14,1,발전량,"2,207.20",92,"2,207.20",0,"2,207.20","2,207.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,207.20",0,0,0,0,0,0,0,0,0
2019.01.15,1,발전량,"2,588.70",108,"2,588.70",0,"2,588.70","2,588.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,588.70",0,0,0,0,0,0,0,0,0
2019.01.16,1,발전량,"4,035.60",168,"4,035.60",0,"4,035.60","4,035.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,035.60",0,0,0,0,0,0,0,0,0
2019.01.17,1,발전량,"1,726.50",72,"1,726.50",0,"1,726.50","1,726.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,726.50",0,0,0,0,0,0,0,0,0
2019.01.18,1,발전량,"4,006.90",167,"4,006.90",0,"4,006.90","4,006.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,006.90",0,0,0,0,0,0,0,0,0
2019.01.19,1,발전량,"2,616.30",109,"2,616.30",0,"2,616.30","2,616.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,616.30",0,0,0,0,0,0,0,0,0
2019.01.20,1,발전량,"4,509.20",188,"4,509.20",0,"4,509.20","4,509.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,509.20",0,0,0,0,0,0,0,0,0
2019.01.21,1,발전량,"4,651.50",194,"4,651.50",0,"4,651.50","4,651.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,651.50",0,0,0,0,0,0,0,0,0
2019.01.22,1,발전량,"4,251.10",177,"4,251.10",0,"4,251.10","4,251.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,251.10",0,0,0,0,0,0,0,0,0
2019.01.23,1,발전량,"3,518.00",147,"3,518.00",0,"3,518.00","3,518.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,518.00",0,0,0,0,0,0,0,0,0
2019.01.24,1,발전량,"4,615.20",192,"4,615.20",0,"4,615.20","4,615.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,615.20",0,0,0,0,0,0,0,0,0
2019.01.25,1,발전량,"3,661.30",153,"3,661.30",0,"3,661.30","3,661.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,661.30",0,0,0,0,0,0,0,0,0
2019.01.26,1,발전량,"4,984.80",208,"4,984.80",0,"4,984.80","4,984.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,984.80",0,0,0,0,0,0,0,0,0
2019.01.27,1,발전량,"4,836.90",202,"4,836.90",0,"4,836.90","4,836.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,836.90",0,0,0,0,0,0,0,0,0
2019.01.28,1,발전량,"3,729.90",155,"3,729.90",0,"3,729.90","3,729.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,729.90",0,0,0,0,0,0,0,0,0
2019.01.29,1,발전량,"4,655.60",194,"4,655.60",0,"4,655.60","4,655.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,655.60",0,0,0,0,0,0,0,0,0
2019.01.30,1,발전량,"3,993.60",166,"3,993.60",0,"3,993.60","3,993.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,993.60",0,0,0,0,0,0,0,0,0
2019.01.31,1,발전량,627.7,26,627.7,0,627.7,627.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.7,0,0,0,0,0,0,0,0,0
2019.02.01,1,발전량,"5,094.40",212,"5,094.40",0,"5,094.40","5,094.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,094.40",0,0,0,0,0,0,0,0,0
2019.02.02,1,발전량,"4,661.20",194,"4,661.20",0,"4,661.20","4,661.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,661.20",0,0,0,0,0,0,0,0,0
2019.02.03,1,발전량,108.5,5,108.5,0,108.5,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.5,0,0,0,0,0,0,0,0,0
2019.02.04,1,발전량,"4,836.40",202,"4,836.40",0,"4,836.40","4,836.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,836.40",0,0,0,0,0,0,0,0,0
