년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2017.01.01,1,발전량,"2,695.20",112,"2,695.20",0,"2,695.20","2,695.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,695.20",0,0,0,0,0,0,0,0,0
2017.01.02,1,발전량,"1,733.60",72,"1,733.60",0,"1,733.60","1,733.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,733.60",0,0,0,0,0,0,0,0,0
2017.01.03,1,발전량,"3,995.10",166,"3,995.10",0,"3,995.10","3,995.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,995.10",0,0,0,0,0,0,0,0,0
2017.01.04,1,발전량,"2,768.40",115,"2,768.40",0,"2,768.40","2,768.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,768.40",0,0,0,0,0,0,0,0,0
2017.01.05,1,발전량,"1,233.40",51,"1,233.40",0,"1,233.40","1,233.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,233.40",0,0,0,0,0,0,0,0,0
2017.01.06,1,발전량,"1,479.20",62,"1,479.20",0,"1,479.20","1,479.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,479.20",0,0,0,0,0,0,0,0,0
2017.01.07,1,발전량,"2,456.10",102,"2,456.10",0,"2,456.10","2,456.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,456.10",0,0,0,0,0,0,0,0,0
2017.01.08,1,발전량,"2,649.00",110,"2,649.00",0,"2,649.00","2,649.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,649.00",0,0,0,0,0,0,0,0,0
2017.01.09,1,발전량,"3,067.90",128,"3,067.90",0,"3,067.90","3,067.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,067.90",0,0,0,0,0,0,0,0,0
2017.01.10,1,발전량,"4,363.80",182,"4,363.80",0,"4,363.80","4,363.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,363.80",0,0,0,0,0,0,0,0,0
2017.01.11,1,발전량,"4,821.00",201,"4,821.00",0,"4,821.00","4,821.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,821.00",0,0,0,0,0,0,0,0,0
2017.01.12,1,발전량,"5,700.70",238,"5,700.70",0,"5,700.70","5,700.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,700.70",0,0,0,0,0,0,0,0,0
2017.01.13,1,발전량,"5,703.10",238,"5,703.10",0,"5,703.10","5,703.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,703.10",0,0,0,0,0,0,0,0,0
2017.01.14,1,발전량,"4,731.40",197,"4,731.40",0,"4,731.40","4,731.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,731.40",0,0,0,0,0,0,0,0,0
2017.01.15,1,발전량,503.8,21,503.8,0,503.8,503.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503.8,0,0,0,0,0,0,0,0,0
2017.01.16,1,발전량,"4,214.30",176,"4,214.30",0,"4,214.30","4,214.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,214.30",0,0,0,0,0,0,0,0,0
2017.01.17,1,발전량,"2,844.20",119,"2,844.20",0,"2,844.20","2,844.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,844.20",0,0,0,0,0,0,0,0,0
2017.01.18,1,발전량,"2,157.10",90,"2,157.10",0,"2,157.10","2,157.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,157.10",0,0,0,0,0,0,0,0,0
2017.01.19,1,발전량,"2,250.80",94,"2,250.80",0,"2,250.80","2,250.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,250.80",0,0,0,0,0,0,0,0,0
2017.01.20,1,발전량,764.9,32,764.9,0,764.9,764.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764.9,0,0,0,0,0,0,0,0,0
2017.01.21,1,발전량,"3,230.20",135,"3,230.20",0,"3,230.20","3,230.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,230.20",0,0,0,0,0,0,0,0,0
2017.01.22,1,발전량,"2,664.40",111,"2,664.40",0,"2,664.40","2,664.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,664.40",0,0,0,0,0,0,0,0,0
2017.01.23,1,발전량,"3,889.70",162,"3,889.70",0,"3,889.70","3,889.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,889.70",0,0,0,0,0,0,0,0,0
2017.01.24,1,발전량,"5,252.10",219,"5,252.10",0,"5,252.10","5,252.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,252.10",0,0,0,0,0,0,0,0,0
2017.01.25,1,발전량,"5,159.90",215,"5,159.90",0,"5,159.90","5,159.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,159.90",0,0,0,0,0,0,0,0,0
2017.01.26,1,발전량,"4,711.90",196,"4,711.90",0,"4,711.90","4,711.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,711.90",0,0,0,0,0,0,0,0,0
2017.01.27,1,발전량,"4,826.10",201,"4,826.10",0,"4,826.10","4,826.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,826.10",0,0,0,0,0,0,0,0,0
2017.01.28,1,발전량,"4,859.90",202,"4,859.90",0,"4,859.90","4,859.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,859.90",0,0,0,0,0,0,0,0,0
2017.01.29,1,발전량,538.6,22,538.6,0,538.6,538.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.6,0,0,0,0,0,0,0,0,0
2017.01.30,1,발전량,"4,261.40",178,"4,261.40",0,"4,261.40","4,261.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,261.40",0,0,0,0,0,0,0,0,0
2017.01.31,1,발전량,"4,626.20",193,"4,626.20",0,"4,626.20","4,626.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,626.20",0,0,0,0,0,0,0,0,0
2017.02.01,1,발전량,"4,546.00",189,"4,546.00",0,"4,546.00","4,546.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,546.00",0,0,0,0,0,0,0,0,0
2017.02.02,1,발전량,"5,703.00",238,"5,703.00",0,"5,703.00","5,703.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,703.00",0,0,0,0,0,0,0,0,0
