년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.01.01,1,발전량,1.229,0.051,0.243,0,0.243,0.003,0,0,0,0,0,0,0.003,0.021,0.063,0.123,0.18,0.233,0.243,0.198,0.131,0.031,0.003,0,0,0,0,0,0,0
2018.01.02,1,발전량,1.034,0.043,0.195,0,0.195,0.004,0,0,0,0,0,0,0.004,0.022,0.061,0.116,0.159,0.192,0.195,0.154,0.097,0.03,0.004,0,0,0,0,0,0,0
2018.01.03,1,발전량,1.193,0.05,0.237,0,0.237,0.003,0,0,0,0,0,0,0.003,0.02,0.063,0.129,0.17,0.237,0.23,0.185,0.117,0.035,0.004,0,0,0,0,0,0,0
2018.01.04,1,발전량,0.859,0.036,0.206,0,0.206,0.001,0,0,0,0,0,0,0.003,0.02,0.051,0.086,0.147,0.206,0.159,0.117,0.051,0.018,0.001,0,0,0,0,0,0,0
2018.01.05,1,발전량,1.197,0.05,0.229,0,0.229,0.002,0,0,0,0,0,0,0.002,0.018,0.057,0.128,0.167,0.221,0.229,0.2,0.134,0.035,0.006,0,0,0,0,0,0,0
2018.01.06,1,발전량,1.268,0.053,0.246,0,0.246,0.003,0,0,0,0,0,0,0.003,0.019,0.062,0.127,0.182,0.239,0.246,0.203,0.143,0.041,0.003,0,0,0,0,0,0,0
2018.01.07,1,발전량,0.419,0.017,0.064,0,0.064,0.002,0,0,0,0,0,0,0.003,0.023,0.041,0.047,0.064,0.061,0.039,0.063,0.059,0.017,0.002,0,0,0,0,0,0,0
2018.01.08,1,발전량,0.231,0.01,0.043,0,0.043,0.002,0,0,0,0,0,0,0,0.012,0.018,0.028,0.042,0.043,0.032,0.025,0.019,0.01,0.002,0,0,0,0,0,0,0
2018.01.09,1,발전량,0.685,0.029,0.18,0,0.18,0.004,0,0,0,0,0,0,0.004,0.022,0.036,0.078,0.071,0.085,0.088,0.18,0.092,0.021,0.008,0,0,0,0,0,0,0
2018.01.10,1,발전량,0.64,0.027,0.152,0,0.152,0.002,0,0,0,0,0,0,0.002,0.015,0.015,0.039,0.101,0.052,0.152,0.141,0.086,0.031,0.006,0,0,0,0,0,0,0
2018.01.11,1,발전량,1.33,0.055,0.256,0,0.256,0.004,0,0,0,0,0,0,0.004,0.021,0.067,0.126,0.186,0.228,0.256,0.228,0.154,0.054,0.006,0,0,0,0,0,0,0
2018.01.12,1,발전량,1.385,0.058,0.259,0,0.259,0.003,0,0,0,0,0,0,0.003,0.022,0.067,0.132,0.183,0.259,0.259,0.234,0.161,0.06,0.005,0,0,0,0,0,0,0
