년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.02.06,1,발전량,5.223,0.218,5.223,0,5.223,5.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.223,0,0,0,0,0,0,0,0,0
2018.02.07,1,발전량,5.411,0.225,5.411,0,5.411,5.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.411,0,0,0,0,0,0,0,0,0
2018.02.08,1,발전량,4.534,0.189,4.534,0,4.534,4.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.534,0,0,0,0,0,0,0,0,0
2018.02.09,1,발전량,3.959,0.165,3.959,0,3.959,3.959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.959,0,0,0,0,0,0,0,0,0
2018.02.10,1,발전량,2.34,0.097,2.34,0,2.34,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0
2018.02.11,1,발전량,4.191,0.175,4.191,0,4.191,4.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.191,0,0,0,0,0,0,0,0,0
2018.02.12,1,발전량,2.97,0.124,2.97,0,2.97,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0
2018.02.13,1,발전량,5.259,0.219,5.259,0,5.259,5.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.259,0,0,0,0,0,0,0,0,0
2018.02.14,1,발전량,4.043,0.168,4.043,0,4.043,4.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.043,0,0,0,0,0,0,0,0,0
2018.02.15,1,발전량,4.29,0.179,4.29,0,4.29,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0
2018.02.16,1,발전량,4.017,0.167,4.017,0,4.017,4.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.017,0,0,0,0,0,0,0,0,0
2018.02.17,1,발전량,5.767,0.24,5.767,0,5.767,5.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.767,0,0,0,0,0,0,0,0,0
2018.02.18,1,발전량,3.256,0.136,3.256,0,3.256,3.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.256,0,0,0,0,0,0,0,0,0
2018.02.19,1,발전량,4.018,0.167,4.018,0,4.018,4.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.018,0,0,0,0,0,0,0,0,0
2018.02.20,1,발전량,4.24,0.177,4.24,0,4.24,4.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0
2018.02.21,1,발전량,3.415,0.142,3.415,0,3.415,3.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415,0,0,0,0,0,0,0,0,0
2018.02.22,1,발전량,5.128,0.214,5.128,0,5.128,5.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.128,0,0,0,0,0,0,0,0,0
2018.02.23,1,발전량,3.432,0.143,3.432,0,3.432,3.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.432,0,0,0,0,0,0,0,0,0
2018.02.24,1,발전량,2.802,0.117,2.802,0,2.802,2.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.802,0,0,0,0,0,0,0,0,0
2018.02.25,1,발전량,3.408,0.142,3.408,0,3.408,3.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.408,0,0,0,0,0,0,0,0,0
2018.02.26,1,발전량,5.572,0.232,5.572,0,5.572,5.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.572,0,0,0,0,0,0,0,0,0
2018.02.27,1,발전량,3.861,0.161,3.861,0,3.861,3.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.861,0,0,0,0,0,0,0,0,0
2018.02.28,1,발전량,0.425,0.018,0.425,0,0.425,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0
2018.03.01,1,발전량,5.552,0.231,5.552,0,5.552,5.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.552,0,0,0,0,0,0,0,0,0
2018.03.02,1,발전량,5.911,0.246,5.911,0,5.911,5.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.911,0,0,0,0,0,0,0,0,0
2018.03.03,1,발전량,5.021,0.209,5.021,0,5.021,5.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.021,0,0,0,0,0,0,0,0,0
2018.03.04,1,발전량,3.927,0.164,3.927,0,3.927,3.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.927,0,0,0,0,0,0,0,0,0
2018.03.05,1,발전량,1.043,0.043,1.043,0,1.043,1.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.043,0,0,0,0,0,0,0,0,0
2018.03.06,1,발전량,5.852,0.244,5.852,0,5.852,5.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.852,0,0,0,0,0,0,0,0,0
2018.03.07,1,발전량,0.768,0.032,0.768,0,0.768,0.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768,0,0,0,0,0,0,0,0,0
2018.03.08,1,발전량,0.655,0.027,0.655,0,0.655,0.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0
2018.03.09,1,발전량,2.333,0.097,2.333,0,2.333,2.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333,0,0,0,0,0,0,0,0,0
2018.03.10,1,발전량,5.306,0.221,5.306,0,5.306,5.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.306,0,0,0,0,0,0,0,0,0
2018.03.11,1,발전량,5.551,0.231,5.551,0,5.551,5.551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.551,0,0,0,0,0,0,0,0,0
2018.03.12,1,발전량,5.323,0.222,5.323,0,5.323,5.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.323,0,0,0,0,0,0,0,0,0
2018.03.13,1,발전량,5.532,0.23,5.532,0,5.532,5.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.532,0,0,0,0,0,0,0,0,0
2018.03.14,1,발전량,5.314,0.221,5.314,0,5.314,5.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.314,0,0,0,0,0,0,0,0,0
2018.03.15,1,발전량,0.854,0.036,0.854,0,0.854,0.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854,0,0,0,0,0,0,0,0,0
2018.03.16,1,발전량,2.206,0.092,2.206,0,2.206,2.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.206,0,0,0,0,0,0,0,0,0
2018.03.17,1,발전량,5.863,0.244,5.863,0,5.863,5.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.863,0,0,0,0,0,0,0,0,0
2018.03.18,1,발전량,2.763,0.115,2.763,0,2.763,2.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.763,0,0,0,0,0,0,0,0,0
2018.03.19,1,발전량,0.518,0.022,0.518,0,0.518,0.518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518,0,0,0,0,0,0,0,0,0
2018.03.20,1,발전량,4.449,0.185,4.449,0,4.449,4.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.449,0,0,0,0,0,0,0,0,0
2018.03.21,1,발전량,0.72,0.03,0.72,0,0.72,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0
2018.03.22,1,발전량,6.02,0.251,6.02,0,6.02,6.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0,0,0
2018.03.23,1,발전량,5.923,0.247,5.923,0,5.923,5.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.923,0,0,0,0,0,0,0,0,0
2018.03.24,1,발전량,4.901,0.204,4.901,0,4.901,4.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.901,0,0,0,0,0,0,0,0,0
2018.03.25,1,발전량,5.93,0.247,5.93,0,5.93,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.93,0,0,0,0,0,0,0,0,0
2018.03.26,1,발전량,5.726,0.239,5.726,0,5.726,5.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.726,0,0,0,0,0,0,0,0,0
2018.03.27,1,발전량,5.467,0.228,5.467,0,5.467,5.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467,0,0,0,0,0,0,0,0,0
2018.03.28,1,발전량,5.513,0.23,5.513,0,5.513,5.513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.513,0,0,0,0,0,0,0,0,0
2018.03.29,1,발전량,3.585,0.149,3.585,0,3.585,3.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.585,0,0,0,0,0,0,0,0,0
2018.03.30,1,발전량,5.029,0.21,5.029,0,5.029,5.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.029,0,0,0,0,0,0,0,0,0
2018.03.31,1,발전량,5.037,0.21,5.037,0,5.037,5.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.037,0,0,0,0,0,0,0,0,0
2018.04.01,1,발전량,3.387,0.141,3.387,0,3.387,3.387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.387,0,0,0,0,0,0,0,0,0
2018.04.02,1,발전량,5.076,0.211,5.076,0,5.076,5.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.076,0,0,0,0,0,0,0,0,0
2018.04.03,1,발전량,4.757,0.198,4.757,0,4.757,4.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.757,0,0,0,0,0,0,0,0,0
2018.04.04,1,발전량,0.252,0.01,0.252,0,0.252,0.252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252,0,0,0,0,0,0,0,0,0
2018.04.05,1,발전량,0.478,0.02,0.478,0,0.478,0.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478,0,0,0,0,0,0,0,0,0
2018.04.06,1,발전량,3.541,0.148,3.541,0,3.541,3.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.541,0,0,0,0,0,0,0,0,0
2018.04.07,1,발전량,3.54,0.147,3.54,0,3.54,3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0
2018.04.08,1,발전량,5.259,0.219,5.259,0,5.259,5.259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.259,0,0,0,0,0,0,0,0,0
2018.04.09,1,발전량,5.573,0.232,5.573,0,5.573,5.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.573,0,0,0,0,0,0,0,0,0
2018.04.10,1,발전량,5.526,0.23,5.526,0,5.526,5.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.526,0,0,0,0,0,0,0,0,0
2018.04.11,1,발전량,6.129,0.255,6.129,0,6.129,6.129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.129,0,0,0,0,0,0,0,0,0
2018.04.12,1,발전량,5.749,0.24,5.749,0,5.749,5.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.749,0,0,0,0,0,0,0,0,0
2018.04.13,1,발전량,3.779,0.157,3.779,0,3.779,3.779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.779,0,0,0,0,0,0,0,0,0
2018.04.14,1,발전량,0.249,0.01,0.249,0,0.249,0.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249,0,0,0,0,0,0,0,0,0
2018.04.15,1,발전량,5.43,0.226,5.43,0,5.43,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,0,0,0,0,0,0
2018.04.16,1,발전량,5.71,0.238,5.71,0,5.71,5.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71,0,0,0,0,0,0,0,0,0
